UniqueCarrier,count(UniqueCarrier),sum(Cancelled),sum(WeatherDelay),Count(WeatherDelay),sum(CarrierDelay),Count(CarrierDelay),sum(NASDelay),Count(NASDelay),sum(SecurityDelay),Count(SecurityDelay),sum(LateAircraftDelay),Count(LateAircraftDelay),sum(ArrDelay),Count(ArrDelay),sum(TaxiIn),sum(TaxiOut),sum(Distance)
UA,11985375,272392,1012140.0,24435,8717687.0,252322,1.2195023E7,402407,13933.0,209,1.5516021E7,303121,9.880774E7,5609133,5.2072295E7,1.41248729E8,1.1137766552E10
EA,252013,2126,,,,,,,,,,,1515666.0,105606,,,1.54102111E8
AA,13401517,268353,3463299.0,113902,1.3111031E7,330213,1.6654847E7,580828,72792.0,2832,1.7089178E7,405834,9.1451677E7,6011362,7.7096962E7,1.64003782E8,1.3096158133E10
NW,9301162,201376,2118639.0,47215,1.066455E7,281234,8517831.0,405720,49607.0,2455,5313691.0,162164,4.8019167E7,3989566,4.8442597E7,1.14557636E8,6.692018002E9
EV,1697172,48676,3766058.0,63192,9593420.0,197923,6542823.0,247805,32285.0,1014,3172094.0,73542,1.7671819E7,780531,3.7863978E7,2.561358E7,7.64868753E8
B6,811341,9281,330109.0,4097,2170697.0,86600,4584052.0,139793,39879.0,2564,4798495.0,104259,7724044.0,361219,4911550.0,1.6711138E7,9.70096179E8
HP,3214824,52796,71713.0,1805,1699448.0,54759,1324091.0,62455,24268.0,1235,1164624.0,34423,2.4738635E7,1710182,1.345419E7,3.2107674E7,2.538800601E9
TW,3135807,62226,,,,,,,,,,,2.0433474E7,1468542,1.0976093E7,3.1624302E7,2.310072725E9
DL,14824754,247148,953449.0,28907,9063138.0,254306,1.3120473E7,500504,38774.0,682,9936593.0,262094,1.09487405E8,7750898,7.175893E7,1.76903995E8,1.0727804103E10
OO,3090853,65390,1768608.0,25023,1.0928407E7,265589,6245696.0,107196,89482.0,2676,8624473.0,159574,1.7751788E7,1243267,1.704041E7,4.1266159E7,1.199143412E9
F9,336958,1778,108953.0,3947,830852.0,37125,1169551.0,54249,3829.0,47,685527.0,29684,1906321.0,161064,2488813.0,4698617.0,2.99595575E8
YV,854056,30050,515006.0,6328,5519911.0,91314,2200875.0,45435,26530.0,690,4596895.0,58965,9409631.0,361585,5735926.0,1.3598532E7,3.39860468E8
TZ,208420,2307,23136.0,442,405504.0,10448,871968.0,26639,12910.0,575,729633.0,13813,1262537.0,85122,1460705.0,3592245.0,2.39451257E8
US,12773991,273927,802291.0,19639,6987262.0,283338,9261188.0,369674,40840.0,2255,9901541.0,254010,7.5641415E7,6012717,4.6242073E7,1.22897135E8,7.529998419E9
AQ,154381,2837,2297.0,43,144922.0,3767,15933.0,618,1871.0,54,97398.0,2677,175282.0,57412,571577.0,1156919.0,5.2022302E7
MQ,3954895,157478,2107265.0,61521,9243568.0,256871,1.072415E7,432662,16569.0,768,1.5148225E7,381795,3.2432586E7,1675138,2.692767E7,5.9355347E7,1.446828218E9
OH,1464176,47174,4171659.0,76717,6715926.0,144955,5252022.0,201904,27777.0,747,703794.0,12983,1.0580107E7,624389,1.2630579E7,2.5756432E7,6.87290174E8
HA,274265,1329,12365.0,394,609905.0,14616,13581.0,416,4492.0,237,241745.0,7710,-211526.0,68371,1469839.0,2548141.0,1.61922365E8
ML,70622,1342,,,,,,,,,,,328150.0,29531,,,4.7795815E7
XE,2350309,51991,1465894.0,37592,5385476.0,159786,1.2249024E7,359823,78042.0,5163,1.031262E7,202750,2.0715932E7,1023203,1.6039429E7,4.2580251E7,1.261704518E9
DH,693047,22176,351463.0,5794,1368027.0,38742,2123010.0,67869,7247.0,433,3183909.0,57678,4552841.0,261794,3853463.0,1.1032687E7,2.59805885E8
AS,2677671,55180,191647.0,4160,3811935.0,108351,1917027.0,122259,68371.0,2814,4579152.0,98276,2.1993384E7,1412116,1.1006134E7,2.7510363E7,2.036196248E9
CO,7155433,101722,1050562.0,30148,4362258.0,124656,1.0750889E7,294526,86254.0,5003,6111766.0,117577,4.9680725E7,3340985,3.3258673E7,9.5832896E7,6.549667172E9
FL,1265138,12854,167493.0,3159,2246006.0,67166,5433665.0,183455,0.0,0,8252871.0,137407,1.184659E7,568514,9484232.0,1.9581702E7,8.43208347E8
PA,147785,1485,,,,,,,,,,,208138.0,55553,,,1.06852631E8
WN,15362823,150878,2161602.0,50121,1.0339047E7,581411,7776140.0,471947,174296.0,12093,3.0594099E7,831082,8.4032215E7,6443878,5.0631335E7,1.26840699E8,7.856476195E9
9E,521059,15039,349966.0,4993,2036201.0,35239,1420211.0,62683,3472.0,123,1933202.0,32841,3081650.0,197376,4268088.0,9176845.0,2.35073027E8
