"tf","tfe9","sr","airline_safety.airline","df.tf","df.sr"
0,0,0,"Aer Lingus",0,0
216,2.16e+11,180.3498308792,"Aeroflot*",216,180.3498308792
0,0,0,"Aerolineas Argentinas",0,0
64,6.4e+10,107.22570341917,"Aeromexico*",64,107.22570341917
0,0,0,"Air Canada",0,0
416,4.16e+11,138.481901298156,"Air France",416,138.481901298156
487,4.87e+11,560.250802403394,"Air India*",487,560.250802403394
7,7e+09,9.85672799490439,"Air New Zealand*",7,9.85672799490439
88,8.8e+10,91.1589518515954,"Alaska Airlines*",88,91.1589518515954
50,5e+10,71.6319552203777,"Alitalia",50,71.6319552203777
1,1e+09,0.543113968061,"All Nippon Airways",1,0.543113968061
517,5.17e+11,98.8838303083546,"American*",517,98.8838303083546
0,0,0,"Austrian Airlines",0,0
323,3.23e+11,813.760743553397,"Avianca",323,813.760743553397
0,0,0,"British Airways*",0,0
0,0,0,"Cathay Pacific*",0,0
760,7.6e+11,934.560491762386,"China Airlines",760,934.560491762386
16,1.6e+10,38.2791044823611,"Condor",16,38.2791044823611
47,4.7e+10,85.3782472614968,"COPA",47,85.3782472614968
458,4.58e+11,70.1844836574444,"Delta / Northwest*",458,70.1844836574444
296,2.96e+11,530.751403715085,"Egyptair",296,530.751403715085
4,4e+09,11.9243510938802,"El Al",4,11.9243510938802
259,2.59e+11,530.128662042063,"Ethiopian Airlines",259,530.128662042063
0,0,0,"Finnair",0,0
282,2.82e+11,459.765118880709,"Garuda Indonesia",282,459.765118880709
143,1.43e+11,474.484414782967,"Gulf Air",143,474.484414782967
0,0,0,"Hawaiian Airlines",0,0
148,1.48e+11,126.150362814495,"Iberia",148,126.150362814495
520,5.2e+11,330.322836431428,"Japan Airlines",520,330.322836431428
283,2.83e+11,1020.13305029435,"Kenya Airways",283,1020.13305029435
3,3e+09,1.60037404112796,"KLM*",3,1.60037404112796
425,4.25e+11,245.024192117692,"Korean Air",425,245.024192117692
21,2.1e+10,20.9587972890387,"LAN Airlines",21,20.9587972890387
2,2e+09,0.583680951138835,"Lufthansa*",2,0.583680951138835
571,5.71e+11,549.476328657917,"Malaysia Airlines",571,549.476328657917
280,2.8e+11,803.297796806321,"Pakistan International",280,803.297796806321
75,7.5e+10,181.594915601923,"Philippine Airlines",75,181.594915601923
0,0,0,"Qantas*",0,0
51,5.1e+10,172.468986094296,"Royal Air Maroc",51,172.468986094296
110,1.1e+11,161.06081045343,"SAS*",110,161.06081045343
313,3.13e+11,364.091546382772,"Saudi Arabian",313,364.091546382772
89,8.9e+10,37.4443939442982,"Singapore Airlines",89,37.4443939442982
159,1.59e+11,244.051272489321,"South African",159,244.051272489321
0,0,0,"Southwest Airlines",0,0
14,1.4e+10,42.9997912421563,"Sri Lankan / AirLanka",14,42.9997912421563
229,2.29e+11,288.922059917038,"SWISS*",229,288.922059917038
6,6e+09,23.1326776345014,"TACA",6,23.1326776345014
286,2.86e+11,189.504919894263,"TAM",286,189.504919894263
0,0,0,"TAP - Air Portugal",0,0
309,3.09e+11,181.465581220603,"Thai Airways",309,181.465581220603
148,1.48e+11,76.0496016343561,"Turkish Airlines",148,76.0496016343561
428,4.28e+11,59.9499281587725,"United / Continental*",428,59.9499281587725
247,2.47e+11,100.582814822509,"US Airways / America West*",247,100.582814822509
171,1.71e+11,273.56283134638,"Vietnam Airlines",171,273.56283134638
0,0,0,"Virgin Atlantic",0,0
82,8.2e+10,190.492579475397,"Xiamen Airlines",82,190.492579475397
